artifact,artifact_type,rows_total,speaker_count,style,raw_pseudo_count,artifact_selected_count,mixed_commonvoice_count,mixed_total_style_count,score_ge_0.35,score_ge_0.50,score_ge_0.60,score_ge_0.75,score_ge_0.90
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,anger,15,0,,,15,11,11,9,6
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,confused,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,disgust,57,0,,,60,52,46,42,36
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,enunciated,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,fear,9,0,,,10,8,5,5,4
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,happy,59,0,,,64,54,51,49,45
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,neutral,680,0,,,709,661,640,605,541
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,sad,359,0,,,376,354,336,306,268
embeddings/openvoice_commonvoice_cv500_pseudo_scored.pt,commonvoice,1202,500,whisper,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,anger,15,6,,,15,11,11,9,6
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,confused,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,disgust,57,36,,,60,52,46,42,36
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,enunciated,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,fear,9,4,,,10,8,5,5,4
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,happy,59,42,,,64,54,51,49,45
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,neutral,680,120,,,709,661,640,605,541
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,sad,359,110,,,376,354,336,306,268
embeddings/openvoice_commonvoice_cv500_pseudo_filtered.pt,commonvoice,1202,500,whisper,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,anger,5,5,,,5,5,5,5,5
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,confused,40,40,,,40,40,40,40,7
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,disgust,32,32,,,32,32,32,32,32
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,enunciated,40,40,,,41,40,40,38,13
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,fear,4,4,,,4,4,4,4,4
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,happy,37,37,,,37,37,37,37,37
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,neutral,109,109,,,109,109,109,109,109
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,sad,106,106,,,106,106,106,106,106
embeddings/openvoice_commonvoice_cv500_pseudo_hybrid_extra_priority.pt,commonvoice,1202,500,whisper,12,12,,,12,0,0,0,0
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,anger,,,4,95,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,confused,,,22,112,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,disgust,,,27,118,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,enunciated,,,27,117,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,fear,,,4,95,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,happy,,,30,124,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,neutral,,,66,160,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,sad,,,78,172,,,,,
embeddings/openvoice_mixed_teacher_hybrid_extra_base.pt,mixed,1325,594,whisper,,,9,99,,,,,
