artifact,artifact_type,rows_total,speaker_count,style,raw_pseudo_count,artifact_selected_count,mixed_commonvoice_count,mixed_total_style_count,score_ge_0.35,score_ge_0.50,score_ge_0.60,score_ge_0.75,score_ge_0.90
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,anger,151,0,,,159,137,126,106,83
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,confused,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,disgust,280,0,,,303,258,237,203,164
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,enunciated,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,fear,65,0,,,72,57,50,35,25
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,happy,362,0,,,385,334,316,287,232
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,neutral,3258,0,,,3389,3186,3077,2896,2575
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,sad,2065,0,,,2148,2014,1904,1732,1475
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_scored.pt,commonvoice,25910,13308,whisper,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,anger,151,50,,,159,137,126,106,83
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,confused,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,disgust,280,80,,,303,258,237,203,164
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,enunciated,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,fear,65,50,,,72,57,50,35,25
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,happy,362,80,,,385,334,316,287,232
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,neutral,3258,120,,,3389,3186,3077,2896,2575
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,sad,2065,120,,,2148,2014,1904,1732,1475
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_filtered.pt,commonvoice,25910,13308,whisper,0,0,,,0,0,0,0,0
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,anger,2251,1956,,,2060,1338,970,565,179
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,confused,5147,50,,,4660,2967,2072,1024,189
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,disgust,3540,3107,,,3284,2206,1625,909,261
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,enunciated,3526,50,,,3224,2296,1831,1132,407
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,fear,1008,761,,,812,420,247,108,23
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,happy,2561,2244,,,2375,1499,1102,597,144
embeddings/openvoice_commonvoice_cvrare_expanded_pseudo_prototype_filtered.pt,commonvoice,25910,13308,neutral,2410,2083,,,2192,1438,1042,592,186
