condition,source_stem,style,source_file,audio_file,style_strength,predicted,target,match,score,emo_sim,novelty_gain_vs_baseline,wer,mos,mos_delta_vs_baseline
legacy_combined,cremad_1003,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_anger.wav,5.0,neutral,angry,0,0.7352,0.9951,0.1055,0.0000,3.9858,+0.0007
current_reference_guard,cremad_1003,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_anger.wav,5.0,angry,angry,1,0.9999,0.8306,0.2727,0.0000,3.9595,-0.0253
legacy_combined,cremad_1003,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_baseline.wav,0.0,neutral,,,0.9382,,0.0000,0.0000,3.9851,
current_reference_guard,cremad_1003,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_baseline.wav,0.0,neutral,,,0.9767,,0.0000,0.0000,3.9848,
legacy_combined,cremad_1003,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_confused.wav,5.0,sad,,,0.9981,0.9482,0.5220,0.4286,3.9885,+0.0034
current_reference_guard,cremad_1003,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_confused.wav,4.0,sad,,,0.9993,0.9173,0.1641,0.1429,3.9403,-0.0445
legacy_combined,cremad_1003,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_disgust.wav,5.0,neutral,disgusted,0,0.9987,0.9793,0.1091,0.0000,3.9789,-0.0062
current_reference_guard,cremad_1003,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_disgust.wav,5.0,disgusted,disgusted,1,0.7412,0.9808,0.2665,0.0000,3.1527,-0.8321
legacy_combined,cremad_1003,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_enunciated.wav,5.0,sad,,,0.9961,0.9375,0.4271,1.1429,3.9814,-0.0037
current_reference_guard,cremad_1003,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_enunciated.wav,2.5,neutral,,,0.9143,0.9946,0.1959,0.0000,2.7604,-1.2244
legacy_combined,cremad_1003,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_fear.wav,5.0,sad,fearful,0,0.5845,0.8497,0.0995,0.1429,3.9756,-0.0095
current_reference_guard,cremad_1003,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_fear.wav,5.0,sad,fearful,0,0.9740,0.8492,0.3985,0.4286,3.4277,-0.5571
legacy_combined,cremad_1003,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_happy.wav,5.0,neutral,happy,0,0.9314,0.9819,0.0430,0.0000,3.9834,-0.0017
current_reference_guard,cremad_1003,happy,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_happy.wav,5.0,happy,happy,1,0.9994,0.8872,0.1288,0.0000,3.9832,-0.0016
legacy_combined,cremad_1003,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_neutral.wav,5.0,neutral,neutral,1,0.8249,0.9850,0.1285,0.0000,3.9726,-0.0125
current_reference_guard,cremad_1003,neutral,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_neutral.wav,5.0,neutral,neutral,1,0.9897,0.9913,0.2449,0.0000,3.9819,-0.0029
legacy_combined,cremad_1003,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_sad.wav,5.0,sad,sad,1,0.9985,0.8771,0.1883,0.0000,3.9540,-0.0311
current_reference_guard,cremad_1003,sad,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_sad.wav,3.5,sad,sad,1,0.9918,0.9451,0.1527,0.0000,3.9385,-0.0463
legacy_combined,cremad_1003,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1003_whisper.wav,5.0,disgusted,,,1.0000,0.8525,0.5589,0.8571,3.9756,-0.0095
current_reference_guard,cremad_1003,whisper,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1003.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_whisper.wav,5.0,sad,,,0.8021,0.9111,0.6767,0.0000,3.9815,-0.0033
legacy_combined,cremad_1004,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_anger.wav,5.0,neutral,angry,0,0.5745,0.9557,0.0934,0.0000,3.9705,+0.0492
current_reference_guard,cremad_1004,anger,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_anger.wav,5.0,disgusted,angry,0,0.7742,0.9111,0.3592,0.0000,3.9425,-0.0207
legacy_combined,cremad_1004,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_baseline.wav,0.0,neutral,,,1.0000,,0.0000,0.0000,3.9213,
current_reference_guard,cremad_1004,baseline,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_baseline.wav,0.0,neutral,,,0.9999,,0.0000,0.0000,3.9632,
legacy_combined,cremad_1004,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_confused.wav,5.0,sad,,,0.6018,0.9266,0.5737,0.0000,3.9603,+0.0390
current_reference_guard,cremad_1004,confused,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_confused.wav,4.0,neutral,,,0.9062,0.9579,0.2916,0.0000,3.8422,-0.1210
legacy_combined,cremad_1004,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_disgust.wav,5.0,happy,disgusted,0,0.7605,0.9344,0.1776,0.0000,3.9239,+0.0026
current_reference_guard,cremad_1004,disgust,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_disgust.wav,5.0,disgusted,disgusted,1,0.8958,0.9339,0.2893,0.0000,3.8888,-0.0744
legacy_combined,cremad_1004,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_enunciated.wav,5.0,neutral,,,0.9974,0.9849,0.3364,0.0000,3.9720,+0.0507
current_reference_guard,cremad_1004,enunciated,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_enunciated.wav,2.5,neutral,,,0.5591,0.9732,0.2057,0.0000,2.7487,-1.2145
legacy_combined,cremad_1004,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/pass2_combined_eval/cremad_1004_fear.wav,5.0,neutral,fearful,0,0.5533,0.9677,0.1203,0.0000,3.9640,+0.0427
current_reference_guard,cremad_1004,fear,/Users/steve/UVM-plaid/dp-vc/examples/source_speakers/cremad_1004.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_fear.wav,5.0,fearful,fearful,1,0.5509,0.8176,0.4328,0.1429,3.8811,-0.0821
