source_stem,style,gender_control,age_control,audio_file,emotion_match_1_5,naturalness_1_5,intelligibility_1_5,identity_shift_1_5,notes
cremad_1003,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1003_anger.wav,,,,,
cremad_1003,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1003_disgust.wav,,,,,
cremad_1004,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1004_anger.wav,,,,,
cremad_1004,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1004_disgust.wav,,,,,
cremad_1006,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1006_anger.wav,,,,,
cremad_1006,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1006_disgust.wav,,,,,
cremad_1007,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1007_anger.wav,,,,,
cremad_1007,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1007_disgust.wav,,,,,
cremad_1023,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1023_anger.wav,,,,,
cremad_1023,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1023_disgust.wav,,,,,
cremad_1045,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1045_anger.wav,,,,,
cremad_1045,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1045_disgust.wav,,,,,
cremad_1076,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1076_anger.wav,,,,,
cremad_1076,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/cremad_1076_disgust.wav,,,,,
female_1_cremad_1002,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/female_1_cremad_1002_anger.wav,,,,,
female_1_cremad_1002,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/female_1_cremad_1002_disgust.wav,,,,,
female_2_cremad_1012,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/female_2_cremad_1012_anger.wav,,,,,
female_2_cremad_1012,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/female_2_cremad_1012_disgust.wav,,,,,
male_1_cremad_1003,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/male_1_cremad_1003_anger.wav,,,,,
male_1_cremad_1003,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/male_1_cremad_1003_disgust.wav,,,,,
male_2_cremad_1051,anger,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/male_2_cremad_1051_anger.wav,,,,,
male_2_cremad_1051,disgust,,,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_audio_calibrated_labeled_warmup_eval/male_2_cremad_1051_disgust.wav,,,,,
