source_stem,style,audio_file,emotion_match_1_5,naturalness_1_5,intelligibility_1_5,identity_shift_1_5,notes
cremad_1003,anger,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_anger.wav,,,,,
cremad_1003,confused,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_confused.wav,,,,,
cremad_1003,disgust,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_disgust.wav,,,,,
cremad_1003,enunciated,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_enunciated.wav,,,,,
cremad_1003,fear,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_fear.wav,,,,,
cremad_1003,happy,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_happy.wav,,,,,
cremad_1003,neutral,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_neutral.wav,,,,,
cremad_1003,sad,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_sad.wav,,,,,
cremad_1003,whisper,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1003_whisper.wav,,,,,
cremad_1004,anger,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1004_anger.wav,,,,,
cremad_1004,confused,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1004_confused.wav,,,,,
cremad_1004,disgust,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1004_disgust.wav,,,,,
cremad_1004,enunciated,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_content_guard_eval/cremad_1004_enunciated.wav,,,,,
