confusion_type,target,predicted,count
embedding_classifier,anger,anger,21
embedding_classifier,anger,whisper,2
embedding_classifier,confused,confused,5
embedding_classifier,confused,enunciated,10
embedding_classifier,confused,whisper,7
embedding_classifier,disgust,disgust,20
embedding_classifier,disgust,whisper,3
embedding_classifier,enunciated,confused,6
embedding_classifier,enunciated,enunciated,12
embedding_classifier,enunciated,whisper,4
embedding_classifier,fear,fear,13
embedding_classifier,fear,happy,1
embedding_classifier,fear,sad,8
embedding_classifier,fear,whisper,1
embedding_classifier,happy,confused,1
embedding_classifier,happy,enunciated,1
embedding_classifier,happy,happy,20
embedding_classifier,happy,whisper,2
embedding_classifier,neutral,neutral,20
embedding_classifier,neutral,whisper,4
embedding_classifier,sad,disgust,1
embedding_classifier,sad,fear,1
embedding_classifier,sad,sad,21
embedding_classifier,sad,whisper,1
embedding_classifier,whisper,confused,3
embedding_classifier,whisper,enunciated,3
embedding_classifier,whisper,whisper,16
emotion2vec_direct,angry,angry,86
emotion2vec_direct,angry,disgusted,3
emotion2vec_direct,angry,neutral,2
emotion2vec_direct,disgusted,angry,1
emotion2vec_direct,disgusted,disgusted,85
emotion2vec_direct,disgusted,fearful,1
emotion2vec_direct,disgusted,neutral,2
emotion2vec_direct,disgusted,sad,2
emotion2vec_direct,fearful,disgusted,1
emotion2vec_direct,fearful,fearful,70
emotion2vec_direct,fearful,happy,1
emotion2vec_direct,fearful,neutral,2
emotion2vec_direct,fearful,sad,17
emotion2vec_direct,happy,disgusted,1
emotion2vec_direct,happy,happy,86
emotion2vec_direct,happy,neutral,1
emotion2vec_direct,happy,other,3
emotion2vec_direct,happy,sad,4
emotion2vec_direct,neutral,angry,1
emotion2vec_direct,neutral,neutral,88
emotion2vec_direct,neutral,other,2
emotion2vec_direct,neutral,sad,4
emotion2vec_direct,sad,disgusted,5
emotion2vec_direct,sad,fearful,3
emotion2vec_direct,sad,neutral,1
emotion2vec_direct,sad,other,2
emotion2vec_direct,sad,sad,84
